Date,FII_Gross_Purchase,FII_Gross_Sales,FII_Net_Purchase/Sales,DII_Gross_Purchase,DII_Gross_Sales,DII_Net_Purchase/Sales
06-01-2007,2481.99,2108.61,373.38,1122.01,802.17,319.84
08-01-2007,3620.82,4876.36,-1255.54,1898.6,963.16,935.44
10-01-2007,4311.66,2589.92,1721.74,1251.99,2181.76,-929.77
11-01-2007,5389.86,5315.61,74.25,1929.4,1873.18,56.22
04-02-2007,2010.8,2520.13,-509.33,0,0,0
07-02-2007,1746.34,1651.77,94.57,788.08,874.79,-86.71
08-02-2007,1843.19,2381.16,-537.97,1055.76,773.19,282.57
11-02-2007,3281.13,4511.99,-1230.86,1324.79,880.05,444.74
04-03-2007,2179.39,2185.4,-6.01,0,0,0
05-03-2007,2811.79,2742.09,69.7,769.99,583.59,186.4
07-03-2007,2413.09,1967.68,445.41,842.27,1013.01,-170.74
08-03-2007,2210.6,2353.3,-142.7,805.31,746.22,59.09
09-03-2007,2437.42,2019.35,418.07,769.64,786.16,-16.52
10-03-2007,7746.78,5084.72,2662.06,1219.08,1440.81,-221.73
12-03-2007,5487.35,5526.6,-39.25,1440,990.49,449.51
04-04-2007,2126.12,2171.17,-45.05,0,0,0
05-04-2007,1867.95,1999.27,-131.32,695.99,396.89,299.1
06-04-2007,1873.72,1784.93,88.79,788.4,817.34,-28.94
07-04-2007,2140.88,1417.03,723.85,882.59,1279.73,-397.14
09-04-2007,1837.57,1489.37,348.2,827.58,759.6,67.98
10-04-2007,4278.46,3821.18,457.28,923.34,1587.24,-663.9
12-04-2007,3877.76,4210.62,-332.86,1383.44,1267.13,116.31
13-04-2007,2662.56,2424.06,238.5,0,0,0
16-04-2007,2323.96,2016.21,307.75,781.77,763.98,17.79
17-04-2007,2450.75,2146.09,304.66,729.55,1039.74,-310.19
18-04-2007,2173.88,1708.56,465.32,887.82,868.38,19.44
19-04-2007,1801.53,2030.66,-229.13,810.9,537.14,273.76
20-04-2007,2434.23,1811.72,622.51,907.47,777.6,129.87
23-04-2007,1877.48,2019.97,-142.49,771.77,514.05,257.72
24-04-2007,3258.31,2917.92,340.39,1313.67,1129.38,184.29
25-04-2007,3538.85,2757.6,781.25,1060.12,973.73,86.39
26-04-2007,2816.25,2905.29,-89.04,1196.6,1374.63,-178.03
27-04-2007,1628.9,2006.85,-377.95,793.2,617.23,175.97
04-05-2007,1632.16,1717.96,-85.8,0,0,0
06-05-2007,1965.84,2114.14,-148.3,786.84,739.05,47.79
07-05-2007,3173.62,3024.63,148.99,1348.37,1042.94,305.43
09-05-2007,2633.84,2296.85,336.99,882.78,924.18,-41.4
10-05-2007,4557.73,3609.67,948.06,1739.66,1941.27,-201.61
11-05-2007,3851.03,4944.19,-1093.16,1679.43,1030.74,648.69
12-05-2007,5168.38,4688.2,480.18,1454.28,1613.99,-159.71
14-05-2007,1745.02,1830.34,-85.32,769.03,767.24,1.79
15-05-2007,1931.89,2215.52,-283.63,800.19,860.09,-59.9
16-05-2007,2388.27,2633.42,-245.15,1360.92,957.43,403.49
17-05-2007,3503.38,2985.63,517.75,1626.5,991.84,634.66
18-05-2007,2238.8,2182.16,56.64,798.98,740.93,58.05
21-05-2007,2371.95,2189.29,182.66,1330.32,1072.39,257.93
22-05-2007,3095.1,2754.54,340.56,1196.79,1324.61,-127.82
23-05-2007,2496.02,2399.44,96.58,1034.78,946.84,87.94
24-05-2007,1877.4,2037.71,-160.31,889.29,1025.59,-136.3
25-05-2007,2498.54,2702.79,-204.25,836.96,665.47,171.49
28-05-2007,1795.7,1615.05,180.65,1077.57,1002.83,46.94
29-05-2007,2172.71,1474.75,697.96,848.24,972.38,-124.14
30-05-2007,2350.87,2949.38,-598.51,1349.85,787.98,561.87
31-05-2007,3287.23,3118.37,168.86,1340.53,1308.34,32.19
06-06-2007,2226.8,2457.77,-230.97,1126.64,771.2,355.44
07-06-2007,2843.63,2302.24,541.39,1164.47,1148.08,16.39
08-06-2007,1638.28,3033.28,-1395,980.15,479.46,500.69
09-06-2007,2275.51,1964.14,311.37,841.01,849.27,-8.26
11-06-2007,4163.08,4155.46,7.62,1297.81,1091.25,206.56
12-06-2007,4855.4,4363.3,492.1,1649.03,1421.49,227.54
13-06-2007,1706.7,2000.86,-294.16,863.21,531.73,331.48
14-06-2007,2610.38,2576.25,34.13,527.4,494.83,32.57
15-06-2007,1947.69,1992.47,-44.78,865.58,501.72,363.86
18-06-2007,1571.05,1659.41,-88.36,778.67,408.67,370
19-06-2007,2061.81,1890.1,171.71,769.13,802.11,-32.98
20-06-2007,2543.91,2301.62,242.29,894.26,790.13,104.13
21-06-2007,2328.05,2183.56,144.49,1005.19,857.48,147.71
22-06-2007,2235.18,2263.41,-28.23,1314.72,802.42,512.3
25-06-2007,2672.02,2652.18,19.84,737.57,558.34,179.23
26-06-2007,1812.99,2054.45,-241.46,885.6,686.11,199.49
27-06-2007,2059.39,2626.72,-567.33,748.75,504.65,244.1
28-06-2007,2768.23,3166.34,-398.11,1145.29,1071.78,73.51
29-06-2007,2654.42,2095.83,558.59,1119.86,958.2,161.66
05-07-2007,900.11,756.53,143.58,1645.69,1571.12,74.57
06-07-2007,1412.65,1699.82,-287.17,1037.22,753.41,283.81
08-07-2007,2195.64,2521.32,-325.68,725.62,609.58,116.04
09-07-2007,2173.45,1788.77,384.68,846.88,946.31,-99.43
11-07-2007,4197.83,3766.42,431.41,1103.07,1007.75,95.32
12-07-2007,4426.24,4680.08,-253.84,1478.72,1139.08,339.64
13-07-2007,4470.11,3146.59,1323.52,1566.33,1391.96,174.37
16-07-2007,3008.72,2702.19,306.53,826.37,1234.9,-408.53
17-07-2007,3387.42,3028.36,359.06,1100.52,1265.45,-164.93
18-07-2007,3109.15,2910.84,198.31,880.22,937.71,-57.49
19-07-2007,3449.51,2797.43,652.08,992.07,1141.08,-149.01
20-07-2007,3996.49,2840.56,1155.93,846.78,1191.26,-344.48
23-07-2007,3723.98,2698.41,1025.57,754.52,953.47,-198.95
24-07-2007,4171.38,3100.67,1070.71,897.87,1208.47,-310.6
25-07-2007,3106.22,3141.69,-35.47,1198.24,1048.42,149.82
26-07-2007,4457.35,4179.31,278.04,1270.02,1414.29,-144.27
27-07-2007,3550.83,5025.83,-1475,1970.85,1243.53,727.32
30-07-2007,1903.1,3020.45,-1117.35,1706.87,852.55,854.32
31-07-2007,2980.16,2945.53,34.63,1079.11,731.26,347.85
05-08-2007,1628.57,1833.98,-205.41,964.75,1089.29,-124.54
06-08-2007,2591.34,3566.12,-974.78,1334.84,595.84,739
08-08-2007,3005.15,2918.19,86.96,1020.25,803.82,216.43
10-08-2007,4281.74,2822.23,1459.51,834,976.68,-142.68
11-08-2007,3190.15,4546.68,-1356.53,1223.6,940.28,283.32
13-08-2007,1593.84,2153.42,-559.58,720.81,583.05,137.76
14-08-2007,1464.92,1796.44,-331.52,765.69,456.75,308.94
16-08-2007,2404.91,5513.36,-3108.45,2156.08,757.18,1398.9
17-08-2007,2544.48,6080.24,-3535.76,2677.53,733.05,1944.48
20-08-2007,2084.93,2733.86,-648.93,686.26,544.23,142.03
21-08-2007,2235.03,2373.27,-138.24,1413.43,586.59,826.84
22-08-2007,1911.78,2547.97,-636.19,1115.9,568.61,547.29
23-08-2007,3254.95,2980.31,274.64,1268.56,737.84,530.72
24-08-2007,1404.72,1679.41,-274.69,1090.16,689.45,400.71
27-08-2007,2053.46,1358.11,695.35,1074.77,881.45,193.32
28-08-2007,2458.12,2067.92,390.2,641.52,720.84,-79.32
29-08-2007,2415.39,2579.12,-163.73,890.95,825.47,65.48
30-08-2007,4032.67,4596.33,-563.66,2184.74,1831.78,352.96
31-08-2007,2874.13,2327.04,547.09,1262.79,1050.39,212.4
04-09-2007,1423.75,930.39,493.36,0,0,0
05-09-2007,1685.79,1985.81,-300.02,779.03,892.14,-113.11
07-09-2007,2758.44,1916.8,841.64,746.89,983.74,-236.85
08-09-2007,2483.86,2456.63,27.23,1071.72,999.58,72.14
10-09-2007,4384.91,2968.19,1416.72,1216.27,1745.65,-529.38
11-09-2007,129.47,94.48,34.99,21.6,22.13,-0.53
13-09-2007,2346.89,2340.6,6.29,1006.04,1041.95,-35.91
14-09-2007,3477.32,2191.29,1286.03,976.99,1237.41,-260.42
17-09-2007,2146.26,2051.92,94.34,672.7,813.27,-140.57
18-09-2007,2924.34,2900.96,23.38,920.99,1153.92,-232.93
19-09-2007,5767.81,3310.19,2457.62,1686.85,2015,-328.15
20-09-2007,4596.36,2968.92,1627.44,1018.2,1582.48,-564.28
21-09-2007,3716.81,2954.68,762.13,1442.87,1720.55,-277.68
24-09-2007,4796.16,3605.63,1190.53,1494.45,2164.89,-670.44
25-09-2007,4442.69,2946.55,1496.14,1084.74,1601.17,-516.43
26-09-2007,3622.56,2894.57,727.99,1141.46,1842.89,-701.43
27-09-2007,7256.37,5029.52,2226.85,1837.79,2149.21,-311.42
28-09-2007,5265.73,2990.02,2275.71,1435.77,1535.9,-100.13
04-10-2007,2232.95,1883.3,349.65,0,0,0
05-10-2007,2001.36,1848.09,153.27,918.11,531.67,386.44
07-10-2007,3001.68,2418.66,583.02,773.85,980.55,-206.7
08-10-2007,2748.56,3490.86,-742.3,989.81,1005.45,-15.64
09-10-2007,1399.48,1589.63,-190.15,750.45,740.63,9.82
10-10-2007,5817.2,4354.91,1462.29,1444.55,2141.37,-696.82
12-10-2007,2811.06,3003.18,-192.12,1180.94,1411.09,-230.15
15-10-2007,7138.65,4270.06,2868.59,1688.71,1969.82,-281.11
16-10-2007,5665.37,5899.69,-234.32,1693.31,1703.36,-10.05
17-10-2007,5868.28,7880.34,-2012.06,1811.98,1526.92,285.06
18-10-2007,7066,8196.59,-1130.59,1886.24,1790.22,96.02
19-10-2007,8192.74,9943.5,-1750.76,1758.02,1571.76,186.26
22-10-2007,5545.71,6836.57,-1290.86,1360.31,1375.64,-15.33
23-10-2007,6103.05,5712.34,390.71,1387.54,1349.9,37.64
24-10-2007,5885.81,4583.94,1301.87,1574.37,1191.14,383.23
25-10-2007,6922.59,7547.93,-625.34,2372.68,1584.31,788.37
26-10-2007,3229.55,4466.9,-1237.35,2164.77,1198.81,965.96
29-10-2007,4568.62,3879.69,688.93,2009.85,1375.41,634.44
30-10-2007,4346.73,4735.85,-389.12,1839.07,2016.31,-177.24
31-10-2007,5250.75,5052.01,198.74,1902.13,1457.88,444.25
04-11-2007,2086.5,2156.46,-69.96,0,0,0
05-11-2007,1667.83,2182.09,-514.26,925.82,485.77,440.05
06-11-2007,2132.55,2158.67,-26.12,820.99,583.87,237.12
07-11-2007,2831.4,2732.06,99.34,937.56,1252.94,-315.38
09-11-2007,2214.55,1957.96,256.59,750.4,1195.15,-444.75
10-11-2007,5961.99,5167.21,794.78,1383.12,1803.23,-420.11
12-11-2007,4049.74,3662.47,387.27,1593.63,1252.32,341.31
13-11-2007,4770.2,5103.04,-332.84,1779.09,1514.94,264.15
14-11-2007,4769.91,4606.89,163.02,1708.16,1141.12,567.04
15-11-2007,3914.47,4067.3,-152.83,1889.36,1303.54,585.82
16-11-2007,3503.69,3866.83,-363.14,1195.58,955.86,239.72
19-11-2007,3818.32,4189.36,-371.04,1352.24,1415.69,-63.45
20-11-2007,4414.79,6215.47,-1800.68,1681.08,1217.13,463.95
21-11-2007,3208.09,5215.79,-2007.7,1600.51,970.45,630.06
22-11-2007,1889.01,4376.72,-2487.71,2241.49,900.34,1341.15
23-11-2007,2271.55,2813.43,-541.88,1274.19,748.33,525.86
26-11-2007,3019.5,2969.1,50.4,980.58,706.52,274.06
27-11-2007,3408.27,3906.62,-498.35,1262.29,963.96,298.33
28-11-2007,3192.91,4171.87,-978.96,1259.43,927.61,331.82
29-11-2007,5155.11,6268.07,-1112.96,1974.7,1368.45,606.25
30-11-2007,7242.97,6170.9,1072.07,1948.94,1260.6,688.34
04-12-2007,1658.77,1832.35,-173.58,0,0,0
06-12-2007,2017.16,1681.86,335.3,702.49,783.35,-80.86
07-12-2007,3533.91,2919.83,614.08,1069.96,1041.1,28.86
09-12-2007,2333.4,2015.64,317.76,1037.14,1128.46,-91.32
10-12-2007,5260.25,4944.89,315.36,1242.36,2126.04,-883.68
11-12-2007,4487.18,5681.56,-1194.38,1209.86,1143.87,65.99
12-12-2007,4575.06,4960.26,-385.2,1727.43,1611.6,115.83
13-12-2007,3908.34,4310.1,-401.76,1866.63,1639.98,226.65
14-12-2007,3776.02,4423.12,-647.1,1398.27,1293.09,105.18
17-12-2007,3351.68,5502.89,-2151.21,1307.24,1080.38,226.86
18-12-2007,3166.59,5903.07,-2736.48,1318.9,659.75,659.15
19-12-2007,2506.5,3960.56,-1454.06,1542.21,1191.61,350.6
20-12-2007,2416.46,3183.18,-766.72,1697.2,806.78,890.42
24-12-2007,3324.7,3148.92,175.78,1391,1058.35,332.65
26-12-2007,2345.04,1806.75,538.29,1857.51,1408.78,448.73
27-12-2007,5578.8,6281.44,-702.64,2475.71,1687.79,787.92
28-12-2007,2920.56,2266.8,653.76,1401.46,1234.77,166.69
31-12-2007,2908.02,2391.96,516.06,1331.68,1774.67,-442.99
01-01-2008,888.69,1350.1,-461.41,1284.38,977.44,306.94
02-01-2008,3469.19,3596.12,-126.93,1220.8,1336.2,-115.4
04-01-2008,2609.05,3247.91,-638.86,715.07,1004.63,-289.56
07-01-2008,3117.64,2908.21,209.43,785.18,622.68,162.5
08-01-2008,2686.71,3273.99,-587.28,1301.98,905.64,396.34
09-01-2008,1299.92,1541.77,-241.85,532.82,450.2,82.62
10-01-2008,1889.96,2164.86,-274.9,845.09,796.44,48.65
12-01-2008,1674.62,1645.98,28.64,675.36,626.17,49.19
14-01-2008,4404.39,4662.05,-257.66,1319.73,1513.28,-193.55
15-01-2008,5096.81,5461.9,-365.09,1229.36,1319.1,-89.74
16-01-2008,4439.43,6957.02,-2517.59,1864.99,1676.02,188.97
17-01-2008,4252.65,6520.05,-2267.4,2039.72,1304.97,734.75
18-01-2008,4417.25,6564.17,-2146.92,2031.66,1336.1,695.56
21-01-2008,4295.93,7592.66,-3296.73,4430.29,1031.09,3399.2
22-01-2008,6172.99,10438.18,-4265.19,4375.64,1596.93,2778.71
23-01-2008,5730.7,8752.24,-3021.54,2669.63,1377.87,1291.76
24-01-2008,4686.65,6941.58,-2254.93,2140.83,1023.8,1117.03
25-01-2008,4689.63,4481.15,208.48,1475.88,1227.53,248.35
28-01-2008,2478.9,3517.35,-1038.45,1155.28,557.34,597.94
29-01-2008,2874.72,3420.81,-546.09,762.03,663.21,98.82
30-01-2008,2635.54,3546.54,-911,1432.25,709.14,723.11
31-01-2008,5103.07,9041.07,-3938,3145.68,985.33,2160.35
01-02-2008,3798.13,4426.81,-628.68,1610.49,1183.38,427.11
04-02-2008,2792.79,2928.44,-135.65,1097.88,833.51,264.37
05-02-2008,3662.69,3004.35,658.34,1128.9,1146.9,-18
06-02-2008,2497.04,2846.88,-349.84,699.85,690.04,9.81
07-02-2008,3666.14,4334.57,-668.43,1029.32,608.31,421.01
09-02-2008,2799.13,1666.88,1132.25,1350.5,1140.71,209.79
12-02-2008,891.62,1214.63,-323.01,676.34,571.03,105.31
13-02-2008,3828.13,3818.73,9.4,778.74,755.15,23.59
14-02-2008,3925.69,3864.7,60.99,1115.45,910.42,205.03
15-02-2008,3286.76,3025.56,261.2,948.85,810.19,138.66
18-02-2008,1519.44,1861.52,-342.08,640.96,775.12,-134.16
19-02-2008,2686.93,2357.68,329.25,1023.41,1071.7,-48.29
20-02-2008,2876.67,3143.11,-266.44,994.98,738.8,256.18
21-02-2008,2671.51,2462.08,209.43,748.8,889.48,-140.68
22-02-2008,2254.02,2963.56,-709.54,679.11,573.62,105.49
25-02-2008,3164.03,2380.17,783.86,986.13,1302.62,-316.49
26-02-2008,2327.66,2359.65,-31.99,1250.15,738.82,511.33
27-02-2008,3378,3027.55,350.45,1365.24,1023.89,341.35
28-02-2008,3536.38,4345.48,-809.1,2096.11,1363.73,732.38
29-02-2008,3712.39,4047.26,-334.87,1719.28,976.49,742.79
01-03-2008,5409.98,5654.54,-244.56,2024.5,1497.85,526.65
03-03-2008,3416.87,4128.18,-711.31,1283.3,1202.83,80.47
04-03-2008,2717.21,3110.62,-393.41,1122.23,856.84,265.39
06-03-2008,2900.14,3920.84,-1020.7,980.14,717.65,262.49
07-03-2008,3090.22,3697.14,-606.92,1116.88,590.78,526.1
10-03-2008,2793.65,4455.91,-1662.26,1013.86,957.11,56.75
11-03-2008,2430.17,2066.62,363.55,848.11,945.14,-97.03
12-03-2008,888.39,1340.5,-452.11,739.25,373.01,366.24
13-03-2008,3676.08,3784.58,-108.5,1173.42,1116.98,56.44
14-03-2008,3396.6,3754.6,-358,1105.08,1004.75,100.33
17-03-2008,3738.31,4396.53,-658.22,1127.88,916.4,211.48
18-03-2008,4488.64,5499.69,-1011.05,1116.35,939.02,177.33
19-03-2008,3828.16,3797.62,30.54,1629.04,1486.85,142.19
24-03-2008,2884.39,2508.26,376.13,836.61,1089.88,-253.27
25-03-2008,5020.45,3774.33,1246.12,1413.7,1013.73,399.97
26-03-2008,3133.5,2739.59,393.91,1063.92,1172.57,-108.65
27-03-2008,4806.56,4558.58,247.98,1785.81,1445.97,339.84
28-03-2008,3062.5,3464.45,-401.95,1643.62,914.12,729.5
31-03-2008,2959.05,3824.84,-865.79,1880.72,1314.69,566.03
01-04-2008,4542.3,4526.29,16.01,1952.45,1445.6,506.85
02-04-2008,3341.15,3177.41,163.74,1644.83,913,731.83
03-04-2008,3553.38,4065.71,-512.33,1145.71,975.48,170.23
04-04-2008,2827.05,3675.62,-848.57,1375.67,795.83,579.84
06-04-2008,3035.54,4234.34,-1198.8,1221.85,802.04,419.81
07-04-2008,2913.7,2541.35,372.35,685.58,782.6,-97.02
08-04-2008,1808.44,2316.25,-507.81,826.93,873.9,-46.97
09-04-2008,2604.19,3207.47,-603.28,1043.16,612.05,431.11
11-04-2008,1954.28,1969.89,-15.61,784.89,959.09,-174.2
12-04-2008,1707.29,1400.15,307.14,684.63,605.39,79.24
15-04-2008,3525.96,3582.48,-56.52,738.61,725.34,13.27
16-04-2008,2936.94,2986.83,-49.89,917.28,1007.36,-90.08
17-04-2008,4044.04,3446.51,597.53,1050.23,1110.1,-59.87
21-04-2008,2855.94,2686.28,169.66,947.7,836.12,111.58
22-04-2008,2687.64,2394.68,292.96,1048.15,1167.69,-119.54
23-04-2008,2736.2,3217.13,-480.93,1094.35,1024.31,70.04
24-04-2008,3625.42,4384.58,-759.16,1358.92,916.04,442.88
25-04-2008,3384.83,3071.74,313.09,898.11,973.58,-75.47
28-04-2008,2509.42,2547.75,-38.33,918.44,1085.05,-166.61
29-04-2008,3923.73,3691.55,232.18,1709.68,1306.41,403.27
30-04-2008,3414.15,3565.83,-151.68,1289.73,1328.31,-38.58
